trial,seed,window_size,learning_rate,batch_size,hidden_size,num_layers,kernel_size,dropout,rmse_mean,rmse_std
18,2024,12,0.004768954638784587,16,64,1,3,0.4,0.4582674948213106,0.09012549218578525
19,2024,12,0.00409516607969212,32,128,1,3,0.4,0.4312121755459832,0.06815956299359142
20,2024,8,0.003634882314715575,32,128,1,5,0.30000000000000004,0.5040627579454481,0.14414751285486693
21,2024,12,0.009444538890175574,32,128,1,3,0.4,0.43279058304196244,0.04438820582986429
22,2024,12,0.00813735213703415,32,128,1,3,0.4,0.438540526580993,0.08273819351628177
23,2024,12,0.009865816340912319,32,128,2,3,0.4,0.5291960275875365,0.15375284244679882
24,2024,4,0.004172918061927343,32,128,1,3,0.30000000000000004,0.47045221522013153,0.07466347894750508
25,2024,12,0.0019233196757480371,32,128,1,3,0.4,0.458781345657777,0.14418765393176336
26,2024,12,0.006340286494961756,16,128,1,3,0.30000000000000004,0.4758085826142242,0.11468951034968851
27,2024,12,0.0013378059216497405,32,128,2,3,0.4,0.5198148223924517,0.23110632388784394
28,2024,12,0.002474772007929898,32,128,1,3,0.30000000000000004,0.4402318247717785,0.07433076993461663
29,2024,8,0.003790687494971944,32,128,1,5,0.30000000000000004,0.4801247441802328,0.1116510431151362
